date,keyword,trend_score
2024/10/20,Formula 1,13
2024/10/27,Formula 1,16
2024/11/3,Formula 1,13
2024/11/10,Formula 1,5
2024/11/17,Formula 1,7
2024/11/24,Formula 1,10
2024/12/1,Formula 1,10
2024/12/8,Formula 1,9
2024/12/15,Formula 1,4
2024/12/22,Formula 1,4
2024/12/29,Formula 1,3
2025/1/5,Formula 1,3
2025/1/12,Formula 1,3
2025/1/19,Formula 1,4
2025/1/26,Formula 1,4
2025/2/2,Formula 1,3
2025/2/9,Formula 1,4
2025/2/16,Formula 1,4
2025/2/23,Formula 1,5
2025/3/2,Formula 1,6
2025/3/9,Formula 1,12
2025/3/16,Formula 1,17
2025/3/23,Formula 1,11
2025/3/30,Formula 1,8
2025/4/6,Formula 1,11
2025/4/13,Formula 1,13
2025/4/20,Formula 1,10
2025/4/27,Formula 1,8
2025/5/4,Formula 1,10
2025/5/11,Formula 1,8
2025/5/18,Formula 1,12
2025/5/25,Formula 1,12
2025/6/1,Formula 1,9
2025/6/8,Formula 1,8
2025/6/15,Formula 1,10
2025/6/22,Formula 1,9
2025/6/29,Formula 1,14
2025/7/6,Formula 1,12
2025/7/13,Formula 1,7
2025/7/20,Formula 1,9
2025/7/27,Formula 1,14
2020/7/26,charles leclerc,0
2020/8/2,charles leclerc,0
2020/8/9,charles leclerc,0
2020/8/16,charles leclerc,0
2020/8/23,charles leclerc,0
2020/8/30,charles leclerc,0
2020/9/6,charles leclerc,1
2020/9/13,charles leclerc,0
2020/9/20,charles leclerc,0
2020/9/27,charles leclerc,0
2020/10/4,charles leclerc,0
2020/10/11,charles leclerc,0
2020/10/18,charles leclerc,0
2020/10/25,charles leclerc,0
2020/11/1,charles leclerc,0
2020/11/8,charles leclerc,0
2020/11/15,charles leclerc,0
2020/11/22,charles leclerc,0
2020/11/29,charles leclerc,0
2020/12/6,charles leclerc,0
2020/12/13,charles leclerc,0
2020/12/20,charles leclerc,0
2020/12/27,charles leclerc,0
2021/1/3,charles leclerc,0
2021/1/10,charles leclerc,0
2021/1/17,charles leclerc,0
2021/1/24,charles leclerc,0
2021/1/31,charles leclerc,0
2021/2/7,charles leclerc,0
2021/2/14,charles leclerc,0
2021/2/21,charles leclerc,0
2021/2/28,charles leclerc,0
2021/3/7,charles leclerc,0
2021/3/14,charles leclerc,0
2021/3/21,charles leclerc,0
2021/3/28,charles leclerc,1
2021/4/4,charles leclerc,1
2021/4/11,charles leclerc,1
